colorId,colorName,colorHex,typeOfColorId
19,Graphite Blue,#3A4A5C,2
20,Agate Grey Metallic,#3F3E3B,2
21,Mamba Green Metallic,#697B49,2
22,Black,#0D0D0D,1
23,Ice Grey Metallic,#B0B4B8,2
24,Papaya Metallic,#F96F00,3
25,Python Green,#39FF14,3
26,Carrara White Metallic,#EBEBEB,2
27,Cherry Metallic,#990033,3
28,Macadamia Metallic,#4D3B30,5
29,Ruby Star Neo,#F75D84,3
30,Frozen Blue Metallic,#1C3D70,4
31,Neptune Blue,#27487C,3
32,Signal Yellow,#FDD30D,1
33,Guards Blue,#0033A1,1
34,Biscay Blue Metallic,#006A8E,2
35,Moonlight Blue Metallic,#1A2630,2
36,Oak Green Metallic,#354C38,2
37,Cherry Red,#C31428,3
38,Almond Green,#627E68,2
39,Emerald Green,#008d78,3
40,Sapphire Blue Metallic,#0062B6,2
41,Bordeaux Red Metallic,#65213D,2
42,Volcano Grey Metallic,#6B666D,2
43,Speed Yellow,#F6E700,1
44,GT Silver Metallic,#838383,2
45,Pure White,#F9F9F9,1
46,Racing Green Metallic,#006442,2
47,Dark Olive Metallic,#3C352F,2
48,Topaz Brown Metallic,#5C4339,2
49,Purple,#800080,3
50,Carbon Steel Grey Metallic,#43464B,2
