configurationId,modelId,transmissionId,exteriorColorId,interiorColorAndMaterialId,seatsId,wheelsId,cost
21,37,19,11,14,3,9,$352000
22,39,20,12,15,4,10,$372000
23,41,21,13,16,5,1,$392000
24,43,22,14,17,6,2,$412000
25,45,23,15,18,7,3,$432000
26,47,24,16,1,8,4,$452000
27,49,25,17,2,9,5,$472000
28,51,26,18,3,1,6,$492000
29,53,27,1,4,2,7,$512000
30,55,28,2,5,3,8,$532000
31,57,29,3,6,4,9,$552000
32,59,30,4,7,5,10,$572000
33,61,1,5,8,6,1,$592000
34,63,2,6,9,7,2,$612000
35,62,3,7,10,8,3,$632000
36,53,4,8,11,9,4,$652000
37,39,5,9,12,1,5,$672000
38,2,6,10,13,2,6,$692000
39,23,7,11,14,3,7,$712000
40,25,8,12,15,4,8,$732000
41,17,9,13,16,5,9,$752000
42,2,10,14,17,6,10,$772000
43,31,11,15,18,7,1,$792000
44,53,12,16,1,8,2,$812000
45,45,13,17,2,9,3,$832000
46,27,14,18,3,1,4,$852000
47,19,15,1,4,2,5,$872000
48,21,16,2,5,3,6,$892000
49,4,17,3,6,4,7,$912000
50,55,18,4,7,5,8,$932000
51,27,14,18,3,1,4,$852000
52,20,14,18,3,1,4,$764578
53,21,14,18,3,1,4,$235256
54,24,14,18,3,1,4,$436734
55,22,14,18,3,1,4,$234236
56,22,14,18,3,1,4,$125122
57,24,14,18,3,1,4,$456453
58,24,14,18,3,1,4,$345135
